가구원수,가구형태,주거점유형태,주거면적,부채규모,수급여부,총소득,인당_주거면적,소득_대비_부채비율,면적당_소득
1.0,1.0,3.0,56.0,0.0,0,2423.0,56.0,0.0,42.50877192982456
1.0,1.0,1.0,73.0,11300.0,0,1057.0,73.0,10.680529300567107,14.283783783783784
4.0,5.0,1.0,92.0,12000.0,1,5273.0,23.0,2.2753128555176336,56.69892473118279
1.0,1.0,5.0,46.0,0.0,0,431.0,46.0,0.0,9.170212765957446
2.0,5.0,3.0,59.0,1000.0,1,600.0,29.5,1.663893510815308,10.0
2.0,5.0,1.0,36.0,1000.0,0,360.0,18.0,2.770083102493075,9.72972972972973
1.0,1.0,2.0,20.0,0.0,1,18.0,20.0,0.0,0.8571428571428571
4.0,5.0,1.0,79.0,11530.0,0,7933.0,19.75,1.4532392235946558,99.1625
2.0,5.0,1.0,73.0,13000.0,0,3100.0,36.5,4.192196065785231,41.891891891891895
1.0,1.0,3.0,43.0,0.0,1,0.0,43.0,0.0,0.0
1.0,1.0,2.0,69.0,13000.0,0,3810.0,69.0,3.4111781684597218,54.42857142857143
3.0,5.0,1.0,59.0,11500.0,0,9718.0,19.666666666666668,1.1832493054841033,161.96666666666667
4.0,5.0,2.0,59.0,0.0,0,10415.0,14.75,0.0,173.58333333333334
1.0,1.0,5.0,82.0,0.0,0,1308.0,82.0,0.0,15.759036144578314
3.0,5.0,1.0,82.0,28000.0,0,4428.0,27.333333333333332,6.321968841724995,53.34939759036145
2.0,5.0,1.0,66.0,0.0,0,3000.0,33.0,0.0,44.776119402985074
1.0,1.0,1.0,59.0,500.0,0,1000.0,59.0,0.4995004995004995,16.666666666666668
4.0,5.0,2.0,92.0,17000.0,0,9950.0,23.0,1.708371017988142,106.98924731182795
1.0,1.0,1.0,56.0,10000.0,0,4052.0,56.0,2.467308166790032,71.08771929824562
1.0,1.0,1.0,50.0,1000.0,0,1209.0,50.0,0.8264462809917356,23.705882352941178
2.0,5.0,2.0,106.0,0.0,0,11171.0,53.0,0.0,104.40186915887851
1.0,1.0,1.0,53.0,200.0,0,178.0,53.0,1.1173184357541899,3.2962962962962963
1.0,1.0,3.0,43.0,800.0,0,3624.0,43.0,0.2206896551724138,82.36363636363636
4.0,5.0,3.0,92.0,1300.0,0,7255.0,23.0,0.17916207276736493,78.01075268817205
1.0,1.0,2.0,33.0,0.0,1,0.0,33.0,0.0,0.0
3.0,5.0,3.0,66.0,0.0,0,5476.0,22.0,0.0,81.73134328358209
3.0,5.0,1.0,96.0,7800.0,0,8303.0,32.0,0.9393063583815029,85.5979381443299
4.0,5.0,2.0,142.0,0.0,1,16246.0,35.5,0.0,113.60839160839161
2.0,5.0,5.0,82.0,1822.0,0,5227.0,41.0,0.3485080336648814,62.975903614457835
2.0,5.0,5.0,106.0,0.0,0,3760.0,53.0,0.0,35.14018691588785
3.0,5.0,1.0,40.0,1826.0,0,8163.0,13.333333333333334,0.22366487016168546,199.09756097560975
4.0,5.0,2.0,59.0,8000.0,1,6666.0,14.75,1.19994000299985,111.1
3.0,5.0,1.0,109.0,8980.0,0,7787.0,36.333333333333336,1.153055983564458,70.7909090909091
2.0,5.0,5.0,92.0,5000.0,0,8758.0,46.0,0.5708414202534536,94.17204301075269
2.0,5.0,1.0,73.0,4000.0,0,3256.0,36.5,1.2281240405280933,44.0
3.0,5.0,1.0,63.0,7830.0,0,5360.0,21.0,1.4605484051482933,83.75
2.0,5.0,1.0,92.0,6000.0,0,3861.0,46.0,1.5535991714137753,41.516129032258064
4.0,5.0,2.0,79.0,17000.0,0,6758.0,19.75,2.515164965231543,84.475
1.0,1.0,3.0,26.0,100.0,0,720.0,26.0,0.13869625520110956,26.666666666666668
3.0,5.0,1.0,79.0,3750.0,0,7028.0,26.333333333333332,0.5335040546308152,87.85
2.0,5.0,2.0,40.0,3000.0,0,4862.0,20.0,0.6169031462060457,118.58536585365853
1.0,1.0,1.0,76.0,4000.0,0,4075.0,76.0,0.9813542688910697,52.922077922077925
